id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
20352868,Room & Private Bath at Adams Morgan/CoHi,3111772,Austin,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92887,-77.03402,Private room,68,2,59,2019-06-03,2.54,4,342
20358943,Sunny 1 BR apt in Capitol Hill near metro,144776629,Tiffany,,"Capitol Hill, Lincoln Park",38.88621,-76.98118,Entire home/apt,120,2,44,2019-07-07,1.92,1,152
20359212,Spacious 1 Bedroom Apartment in DC,133109918,Royce,,"West End, Foggy Bottom, GWU",38.90772,-77.05081,Entire home/apt,182,3,1,2019-03-10,0.23,15,127
20359869,DuPont Circle-Great Location!!,145203395,Brian,,"Dupont Circle, Connecticut Avenue/K Street",38.91181,-77.04821,Private room,55,1,2,2017-08-17,0.09,1,0
20360072,"Sprawling 2 BR Apartment, Off Street Parking !",145224593,Anthony & Tamara,,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",38.8715,-76.97095,Entire home/apt,185,1,66,2019-06-12,3.00,1,147
20361292,New Listing! Modern Condo - One block from Metro,3111772,Austin,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92838,-77.03321,Entire home/apt,170,3,8,2019-05-20,0.42,4,156
20369462,DC via Glover Park,15357799,Everton,,"Cathedral Heights, McLean Gardens, Glover Park",38.92,-77.07819,Entire home/apt,80,2,21,2018-10-29,0.91,1,0
20379324,Historic 2 bdr Dupont Circle Brownstone w Parking,97184169,Deborah,,"Dupont Circle, Connecticut Avenue/K Street",38.91301,-77.04196,Entire home/apt,228,2,90,2019-07-14,3.96,3,176
20390895,Perfect Stay Alfred at Varsity on K,114353388,Stay Alfred,,"West End, Foggy Bottom, GWU",38.9015,-77.05062,Entire home/apt,999,1,3,2019-06-02,0.74,59,4
20390896,Remarkable Stay Alfred at Varsity on K,114353388,Stay Alfred,,"West End, Foggy Bottom, GWU",38.90276,-77.05124,Entire home/apt,999,1,0,,,59,4
20390897,Fabulous Stay Alfred at Varsity on K,114353388,Stay Alfred,,"West End, Foggy Bottom, GWU",38.90267,-77.05087,Entire home/apt,999,1,1,2019-04-21,0.35,59,12
20390898,Excellent Stay Alfred at Varsity on K,114353388,Stay Alfred,,"West End, Foggy Bottom, GWU",38.9023,-77.05201,Entire home/apt,999,1,0,,,59,29
20390899,Beautiful Stay Alfred at Varsity on K,114353388,Stay Alfred,,"West End, Foggy Bottom, GWU",38.90237,-77.0526,Entire home/apt,999,1,0,,,59,10
20390900,Captivating Stay Alfred at Varsity on K,114353388,Stay Alfred,,"West End, Foggy Bottom, GWU",38.90276,-77.05259,Entire home/apt,999,1,0,,,59,0
20390901,Marvelous Stay Alfred at Varsity on K,114353388,Stay Alfred,,"West End, Foggy Bottom, GWU",38.90124,-77.05265,Entire home/apt,999,1,0,,,59,20
20390902,Spacious Stay Alfred at Varsity on K,114353388,Stay Alfred,,"West End, Foggy Bottom, GWU",38.90277,-77.05211,Entire home/apt,999,1,2,2019-06-17,1.36,59,11
20390903,Delightful Stay Alfred at Varsity on K,114353388,Stay Alfred,,"West End, Foggy Bottom, GWU",38.90285,-77.051,Entire home/apt,999,1,0,,,59,4
20390904,Lovely Stay Alfred at Varsity on K,114353388,Stay Alfred,,"West End, Foggy Bottom, GWU",38.90122,-77.05281,Entire home/apt,999,1,1,2019-06-02,0.68,59,35
20390905,Outstanding Stay Alfred at Varsity on K,114353388,Stay Alfred,,"West End, Foggy Bottom, GWU",38.90176,-77.05264,Entire home/apt,999,1,0,,,59,0
20390906,Ideal Stay Alfred at Varsity on K,114353388,Stay Alfred,,"West End, Foggy Bottom, GWU",38.90091,-77.0506,Entire home/apt,999,1,4,2019-06-22,0.89,59,6
20390907,Gorgeous Stay Alfred at Varsity on K,114353388,Stay Alfred,,"West End, Foggy Bottom, GWU",38.90177,-77.05283,Entire home/apt,999,1,0,,,59,11
20392150,Deck★Patio★Parking★Trolley: Complete City Retreat,487806,Stay BnB DC,,"Union Station, Stanton Park, Kingman Park",38.89784,-76.98747,Entire home/apt,85,2,103,2019-06-28,4.45,23,38
20403640,Cozy House - Newly Remodeled 5 BR Home; 10 Guests,127842798,Elizabeth,,"Brightwood Park, Crestwood, Petworth",38.95759,-77.02455,Entire home/apt,199,2,59,2019-07-07,2.60,1,119
20403766,Dupont - Scandinavian Cafe & Garden Apartment,29184455,Tedd,,"Dupont Circle, Connecticut Avenue/K Street",38.9066,-77.04585,Entire home/apt,220,1,99,2019-06-24,4.23,3,166
20411917,"Unmatched Location, Amenities, Walk2ConventionCtr",17123337,Catherine And Paul,,"Shaw, Logan Circle",38.91282,-77.02439,Entire home/apt,550,2,25,2019-05-23,1.11,4,304
20412315,Room in spacious rowhouse - best location in DC,1719766,Danna,,"Dupont Circle, Connecticut Avenue/K Street",38.91528,-77.03862,Private room,85,4,31,2019-06-11,1.42,2,16
20416725,★Petite Patio Oasis★ H Street Fun and FREE Trolley,487806,Stay BnB DC,,"Union Station, Stanton Park, Kingman Park",38.89865,-76.98749,Entire home/apt,45,2,83,2019-06-22,3.58,23,33
20422457,Private BR. Queen bed & mini fridge. Metro access,12126132,Juli,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93222,-77.03689,Private room,54,3,39,2019-07-07,1.71,2,10
20422949,Flamingo House private room and private full bath,143284456,Kerith,,"Capitol Hill, Lincoln Park",38.89034,-76.98717,Private room,65,2,0,,,1,0
20424260,"Spacious, Comfortable Home Near Metro & Zoo",6895494,Esteban,,"Friendship Heights, American University Park, Tenleytown",38.94939,-77.07369,Entire home/apt,229,2,76,2019-06-01,3.53,1,175
20432523,Entire Home Sleeps up to 5,11827226,Cynthia,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90166,-76.98364,Entire home/apt,150,6,2,2017-11-26,0.10,3,4
20434997,Luxurious 2bd/2ba with rooftop - City Center!,49669651,H.,,"Shaw, Logan Circle",38.90679,-77.02704,Entire home/apt,90,3,10,2019-05-18,0.44,1,0
20437419,Master Bedroom with Private Bath,9354986,Jonathon,,"Takoma, Brightwood, Manor Park",38.96918,-77.02691,Private room,65,4,1,2017-09-30,0.05,5,3
20437717,Heart of Georgetown,176438,John,,"Georgetown, Burleith/Hillandale",38.90556,-77.06036,Private room,85,1,143,2019-06-24,6.15,2,79
20438692,The Center of Georgetown,176438,John,,"Georgetown, Burleith/Hillandale",38.90564,-77.06146,Private room,85,1,120,2019-06-26,5.26,2,66
20439470,"Luxurious, Clean, Cozy, Modern, Bright and Elegant",30801670,Henry Benjamin,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91151,-77.00199,Entire home/apt,110,1,34,2019-07-05,1.48,1,5
20439704,Beautiful DC Rowhouse-Perfect 4 Families & Groups!,29405265,Donald,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.92289,-77.00353,Entire home/apt,140,1,67,2019-07-01,3.00,1,3
20442382,"Huge 1BR, Great Location & Stunning View!",1166255,Deb,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91694,-77.04272,Entire home/apt,110,4,7,2018-12-15,0.31,2,0
20449795,"New Capitol Hill Suite, Garage Parking!",102213703,Kristin,,"Capitol Hill, Lincoln Park",38.88989,-76.98214,Entire home/apt,135,2,89,2019-06-30,4.00,4,147
20451564,In-town Private Suite and Bath on Own Level,21536334,Janie,,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.92686,-77.06911,Private room,90,1,71,2019-05-26,3.06,3,316
